Epoch,Training Losses,Training Accuracies,Validation Losses,Validation Accuracies
1,0.6892065652275086,0.56292,0.6804261996269226,0.57285
2,0.6882759820365906,0.56475,0.6810370922088623,0.57715
3,0.6899817639732361,0.56379,0.6743883193969726,0.58225
